02.12.2012 23:37:37   A1  0,0  A2  0,0  D1  0,0  D2  0,0
03.12.2012 14:14:34 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:35 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:36 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:37 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:54:48 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:55:42 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:55:43 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:55:44 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:55:45 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:55:46 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:55:47 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:55:48 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:10 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:11 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:12 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:13 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:18 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:19 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:20 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:21 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:22 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:23 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:24 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:25 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:26 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:27 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:28 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:29 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:30 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:31 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:32 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:33 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:56:34 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:00 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:01 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:02 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:03 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:04 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:05 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:06 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:07 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:08 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:09 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:10 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:11 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:12 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:13 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:14 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:15 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:16 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:17 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:18 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:19 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:20 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:21 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:22 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:23 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:24 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:25 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:26 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:27 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:28 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:29 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:41 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:42 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:57:43 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:01 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:02 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:03 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 15:58:04 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
